Start Node,Algorithm,Suggested Products,Time to Suggest
21401,RFS,|38273||34784||56165||75575||28824||71198||37936||37939||56167||56166|||,0.005004167556762695
21801,BFS,|39656||45040||22489||39657||49633||92370||45041||43994||66424||92369|||,0.0
21801,DFS,|39656||45040||39657||49633||92370||22489||43994||92369||64144||66424|||,0.0
21801,RFS,|39656||45040||22489||39657||49633||92370||45041||43994||92369||64144|||,0.0
22001,BFS,|54391||30273||92063||43268||64533||59844||43158||60161||46608||92062|||,0.1410996913909912
22001,DFS,|30273||64533||60161||46608||72828||82151||82275||60160||82853||67221|||,0.06304311752319336
22001,RFS,|54391||30273||43268||92063||64533||43158||92062||46608||50297||75741|||,0.10407400131225586
22201,BFS,|56743||22202||95275||83750||86040||46991||73388||54334||89444||130591|||,0.034021854400634766
22201,DFS,|56743||22202||95275||86040||83750||46991||54334||89444||73388||130591|||,0.03702855110168457
22201,RFS,|56743||22202||95275||86040||83750||46991||54334||89444||73388||130591|||,0.037024736404418945
22401,BFS,|59700||23865||41288||37956||43045||23864||73238||49245||82433||40042|||,0.013009309768676758
22401,DFS,|59700||23865||41288||37956||43045||23864||73238||49245||82433||40042|||,0.013009071350097656
22401,RFS,|59700||23865||41288||37956||43045||23864||73238||49245||82433||40042|||,0.010008811950683594
22601,BFS,|24764||52876||37752||88711||46054||90711||55055||106730||48449||118943|||,0.10307455062866211
22601,DFS,|24764||37752||88711||46054||90711||106730||55055||76931||118943||95703|||,0.06304311752319336
22601,RFS,|24764||52876||37752||88711||46054||90711||56286||55055||106730||48449|||,0.08706378936767578
22801,BFS,|56489||47217||48802||93563||34540||63492||51412||53811||93560||33463|||,0.0020017623901367188
22801,DFS,|56489||48802||47217||93563||34540||63492||51412||93560||53811||47218|||,0.0010004043579101562
22801,RFS,|56489||47217||48802||93563||34540||63492||51412||53811||93560||33463|||,0.0019991397857666016
23001,BFS,|54424||46551||48960||88366||105059||36686||75394||103996||67622||75396|||,0.013009071350097656
23001,DFS,|54424||46551||48960||88366||105059||103996||75394||36686||75396||67622|||,0.01300954818725586
23001,RFS,|54424||46551||48960||88366||105059||36686||75394||103996||67622||75396|||,0.014013528823852539
23201,BFS,|101318||101321||101317||52203||55335||54047||63725||66067||140852||140853|||,0.001001119613647461
23201,DFS,|101318||101321||101317||52203||54047||63725||66067||140853||140852||55335|||,0.0010004043579101562
23201,RFS,|101318||101321||101317||52203||54047||63725||66067||55335||140853||140852|||,0.002001047134399414
23401,BFS,|25573||137315||25572||102898||113330||86616||25574||43722||60697||102899|||,0.0
23401,DFS,|25573||137315||113330||102898||86616||25572||60697||86619||86618||102899|||,0.0
23401,RFS,|25573||137315||25572||102898||113330||86616||43722||60697||25574||102899|||,0.0
23601,BFS,|83724||52817||31620||41188||42926||53162||76450||74961||79695||76454|||,0.05504035949707031
23601,DFS,|83724||52817||41188||42926||31620||53162||76450||89551||76454||79695|||,0.0530393123626709
23601,RFS,|83724||52817||41188||31620||42926||53162||76450||89551||76454||74961|||,0.06604671478271484
23801,BFS,|23803||23802||54126||26890||29290||29667||29669||116871||116873||26892|||,0.0
23801,DFS,|23803||23802||54126||29669||29667||29290||26890||116873||116871||62338|||,0.0010001659393310547
